experiment_no,mode,T_C,pH,topo_wt_pct,na_li_mass_ratio,initial_Li_mol,initial_Na_mol,initial_OH_mol_from_pH,initial_DES_mol,oh_limited_max_li_plus_na_extraction_mol,li_extraction_pct_calc,na_extraction_pct_calc,li_extraction_pct_exp,na_extraction_pct_exp,li_abs_pct_error,na_abs_pct_error,selectivity_calc,selectivity_exp,converged,iterations,final_extent_delta,source
2,2025_born_no_ssm_empirical,35.0,9.5,20.0,10.0,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,3.85579332947754,3.1622776601683795e-05,3.470279421028803e-10,1.1494892659218256e-10,34.01,12.93,34.00999999965297,12.929999999885052,3.0189750560618194,2.63,True,1,9.99999290187017e-13,Rezaee2025_Table5
3,2025_born_no_ssm_empirical,25.0,10.5,20.0,10.0,0.1440922190201729,0.43497609741098314,0.00031622776601683794,3.85579332947754,0.00031622776601683794,3.4727932500878115e-10,1.1494965866361667e-10,41.35,11.14,41.349999999652724,11.13999999988505,3.0211427249648755,3.71,True,1,9.999929215155083e-13,Rezaee2025_Table5
4,2025_born_no_ssm_empirical,35.0,10.5,20.0,10.0,0.1440922190201729,0.43497609741098314,0.00031622776601683794,3.85579332947754,0.00031622776601683794,3.4727954382408894e-10,1.1494966124557963e-10,39.24,14.21,39.239999999652724,14.209999999885051,3.0211445606799776,2.76,True,1,9.999928990536647e-13,Rezaee2025_Table5
5,2025_born_no_ssm_empirical,25.0,9.5,40.0,10.0,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,2.891844997108155,3.1622776601683795e-05,3.4708642659976615e-10,1.1494968332235555e-10,33.03,11.3,33.029999999652915,11.29999999988505,3.0194639651718327,2.92,True,1,9.999927069962682e-13,Rezaee2025_Table5
6,2025_born_no_ssm_empirical,35.0,9.5,40.0,10.0,0.1440922190201729,0.43497609741098314,3.1622776601683795e-05,2.891844997108155,3.1622776601683795e-05,3.4708649553127106e-10,1.1494968599329367e-10,33.22,16.54,33.21999999965291,16.53999999988505,3.0194644946791813,2.01,True,1,9.999926837603833e-13,Rezaee2025_Table5
7,2025_born_no_ssm_empirical,25.0,10.5,40.0,10.0,0.1440922190201729,0.43497609741098314,0.00031622776601683794,2.891844997108155,0.00031622776601683794,3.4786465808013097e-10,1.1495723165695091e-10,44.53,11.93,44.529999999652134,11.929999999885043,3.026035448715481,3.73,True,1,9.999270400937834e-13,Rezaee2025_Table5
8,2025_born_no_ssm_empirical,35.0,10.5,40.0,10.0,0.1440922190201729,0.43497609741098314,0.00031622776601683794,2.891844997108155,0.00031622776601683794,3.4786533542881887e-10,1.1495725826996066e-10,37.79,16.85,37.78999999965213,16.849999999885043,3.026040640356148,2.24,True,1,9.999268085733209e-13,Rezaee2025_Table5
9,2025_born_no_ssm_empirical,25.0,9.5,20.0,20.0,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,3.85579332947754,3.1622776601683795e-05,3.4706704521745564e-10,5.747460788014995e-11,34.95,9.61,34.94999999965294,9.609999999942525,6.038615277570645,3.63,True,1,9.999967745626334e-13,Rezaee2025_Table5
10,2025_born_no_ssm_empirical,35.0,9.5,20.0,20.0,0.1440922190201729,0.8699521948219663,3.1622776601683795e-05,3.85579332947754,3.1622776601683795e-05,3.470654099150654e-10,5.747460411932395e-11,30.0,12.73,29.999999999652935,12.729999999942526,6.038587220096677,2.36,True,1,9.999968399974101e-13,Rezaee2025_Table5
11,2025_born_no_ssm_empirical,25.0,10.5,20.0,20.0,0.1440922190201729,0.8699521948219663,0.00031622776601683794,3.85579332947754,0.00031622776601683794,3.4767077164847927e-10,5.7476277102570565e-11,36.85,10.43,36.84999999965233,10.429999999942524,6.048943828216912,3.53,True,1,9.999677316884642e-13,Rezaee2025_Table5
